store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date
S001,SKU02733,47,13,7,2025-11-28
S001,SKU02845,110,24,19,2025-11-17
S001,SKU00429,37,4,2,2025-03-23
S001,SKU04304,67,18,14,2025-03-01
S001,SKU00443,119,33,28,2025-11-24
S001,SKU03697,85,24,16,2025-05-23
S001,SKU04933,123,22,17,2025-07-11
S001,SKU00744,26,7,6,2025-10-06
S001,SKU03578,12,3,2,2025-07-06
S001,SKU03959,219,52,33,2025-01-25
S001,SKU04780,28,5,4,2025-10-29
S001,SKU04243,9,1,1,2025-10-25
S001,SKU00415,131,32,19,2025-08-03
S001,SKU03454,40,4,3,2025-09-04
S001,SKU04995,87,10,8,2025-08-23
S001,SKU01785,10,2,1,2025-10-22
S001,SKU00851,3,1,1,2025-10-04
S001,SKU01901,36,4,3,2025-05-30
S001,SKU04514,106,24,19,2025-06-09
S001,SKU01127,107,24,12,2025-11-27
S001,SKU04023,18,2,1,2025-06-16
S001,SKU04815,42,8,6,2025-09-03
S001,SKU01924,53,14,7,2025-12-02
S001,SKU01368,63,9,8,2025-09-24
S001,SKU03752,13,3,2,2025-03-11
S001,SKU04665,164,37,32,2025-09-13
S001,SKU00434,72,20,19,2025-09-02
S001,SKU00954,75,10,7,2025-04-29
S001,SKU00958,108,32,24,2025-11-03
S001,SKU00206,151,19,16,2025-09-25
S001,SKU01758,40,9,8,2025-01-09
S001,SKU02750,123,17,14,2025-03-22
S001,SKU03938,117,30,29,2025-11-10
S001,SKU00293,38,11,7,2025-06-23
S001,SKU02709,94,15,13,2025-07-01
S001,SKU02175,9,2,1,2025-10-08
S001,SKU03669,105,18,11,2025-12-04
S001,SKU00432,86,19,14,2025-02-28
S001,SKU01129,2,1,1,2025-02-25
S001,SKU01822,139,28,26,2025-10-17
S001,SKU00642,50,8,4,2025-11-25
S001,SKU02110,124,28,21,2025-08-25
S001,SKU01647,69,17,16,2025-01-15
S001,SKU04221,37,5,3,2025-02-13
S001,SKU03122,40,7,4,2025-08-30
S001,SKU02466,123,35,27,2025-01-14
S001,SKU03627,7,1,1,2025-06-23
S001,SKU02522,61,10,8,2025-06-09
S001,SKU02912,40,5,4,2025-07-24
S001,SKU01004,53,8,4,2025-11-22
S001,SKU01294,112,23,17,2025-08-23
S001,SKU04507,44,5,4,2025-04-06
S001,SKU04364,78,21,17,2025-10-08
S001,SKU04382,34,7,6,2025-08-22
S001,SKU04233,104,17,16,2025-09-21
S001,SKU04530,37,4,3,2025-03-14
S001,SKU03055,78,11,6,2025-10-17
S001,SKU02857,72,9,6,2025-08-13
S001,SKU03015,117,14,10,2025-12-25
S001,SKU04984,38,9,5,2025-07-15
S001,SKU03573,85,17,13,2025-08-28
S001,SKU03981,6,1,1,2025-07-26
S001,SKU02092,17,4,2,2025-06-09
S001,SKU04783,139,29,25,2025-02-17
S001,SKU00466,18,4,3,2025-04-17
S001,SKU02975,38,4,2,2025-11-04
S001,SKU01099,95,24,12,2025-03-18
S001,SKU02591,6,1,1,2025-07-08
S001,SKU01799,32,3,1,2025-07-14
S001,SKU02264,51,11,9,2025-07-13
S001,SKU04230,166,34,27,2025-08-08
S001,SKU04027,118,28,24,2025-06-16
S001,SKU00125,125,28,21,2025-08-18
S001,SKU00211,30,3,2,2025-10-09
S001,SKU01009,9,2,1,2025-09-26
S001,SKU04515,21,6,4,2025-06-23
S001,SKU00461,60,6,4,2025-06-25
S001,SKU02545,102,26,20,2025-11-01
S001,SKU04986,31,5,4,2025-05-13
S001,SKU04774,30,5,2,2025-04-22
S001,SKU01068,80,13,9,2025-03-13
S001,SKU03707,80,10,5,2025-08-19
S001,SKU04303,31,3,2,2025-06-03
S001,SKU00207,118,21,19,2025-12-23
S001,SKU01201,118,27,16,2025-04-24
S001,SKU00515,48,9,7,2025-04-12
S001,SKU00361,138,14,8,2025-06-13
S001,SKU03630,222,39,37,2025-02-19
S001,SKU04485,94,23,19,2025-03-15
S001,SKU02512,5,1,1,2025-08-16
S001,SKU01481,50,7,6,2025-12-18
S001,SKU03357,12,1,1,2025-12-13
S001,SKU04007,81,18,17,2025-04-19
S001,SKU04532,4,1,1,2025-02-03
S001,SKU04915,50,5,3,2025-06-25
S001,SKU00709,4,1,1,2025-11-05
S001,SKU01851,84,17,11,2025-05-26
S001,SKU01475,30,5,3,2025-01-12
S001,SKU00364,53,7,5,2025-06-15
S001,SKU03257,3,1,1,2025-01-02
S001,SKU02527,27,7,3,2025-05-31
S001,SKU03757,139,28,27,2025-09-30
S001,SKU04686,11,1,1,2025-09-17
S001,SKU03958,44,5,4,2025-10-14
S001,SKU04078,63,18,9,2025-12-21
S001,SKU02270,117,14,8,2025-11-06
S001,SKU03010,37,7,6,2025-08-27
S001,SKU00470,54,14,11,2025-08-28
S001,SKU03333,111,31,15,2025-08-03
S001,SKU03303,21,5,3,2025-10-20
S001,SKU01425,88,25,22,2025-03-24
S001,SKU02134,17,2,1,2025-09-08
S001,SKU02643,66,15,13,2025-07-27
S001,SKU03709,84,22,17,2025-09-04
S001,SKU00715,85,13,9,2025-12-15
S001,SKU01644,234,65,60,2025-10-13
S001,SKU00473,124,24,15,2025-01-22
S001,SKU01502,4,1,1,2025-06-09
S001,SKU02526,50,5,3,2025-08-26
S001,SKU00845,19,5,3,2025-01-05
S001,SKU02313,53,5,3,2025-07-04
S001,SKU03326,33,4,3,2025-07-31
S001,SKU00874,11,1,1,2025-12-01
S001,SKU03665,6,1,1,2025-02-24
S001,SKU01041,19,2,1,2025-05-22
S001,SKU00550,72,17,13,2025-10-09
S001,SKU00816,139,32,31,2025-05-21
S001,SKU03295,82,18,16,2025-03-01
S001,SKU00926,134,29,26,2025-12-10
S001,SKU00399,36,7,3,2025-02-26
S001,SKU01485,80,21,19,2025-12-10
S001,SKU04082,21,2,1,2025-06-11
S001,SKU04293,57,16,11,2025-07-28
S001,SKU01301,173,33,28,2025-11-02
S001,SKU01151,37,9,5,2025-02-09
S001,SKU04752,65,14,12,2025-11-21
S001,SKU00800,170,18,17,2025-11-04
S001,SKU03136,6,1,1,2025-11-21
S001,SKU03058,148,16,12,2025-08-07
S001,SKU01539,239,32,19,2025-11-08
S001,SKU03674,15,1,1,2025-10-13
S001,SKU00426,43,5,3,2025-10-17
S001,SKU00881,13,1,1,2025-08-24
S001,SKU03636,36,7,5,2025-04-23
S001,SKU00118,52,13,10,2025-11-11
S001,SKU01656,12,2,1,2025-04-13
S001,SKU00141,7,1,1,2025-08-08
S001,SKU03198,18,3,2,2025-07-24
S001,SKU03508,47,6,4,2025-11-14
S001,SKU02662,43,7,4,2025-10-28
S001,SKU01637,17,3,1,2025-10-31
S001,SKU02072,72,8,6,2025-03-08
S001,SKU03511,83,18,11,2025-07-10
S001,SKU00499,10,2,1,2025-05-12
S001,SKU02046,5,1,1,2025-10-18
S001,SKU04725,95,23,18,2025-04-09
S001,SKU03582,19,5,2,2025-11-17
S001,SKU00936,49,14,12,2025-01-11
S001,SKU02737,6,1,1,2025-10-30
S001,SKU04022,49,7,6,2025-12-22
S001,SKU01730,123,24,17,2025-04-11
S001,SKU00813,88,16,13,2025-08-15
S001,SKU04204,19,5,2,2025-11-05
S001,SKU02387,40,5,3,2025-12-28
S001,SKU00447,72,17,10,2025-04-26
S001,SKU00038,15,3,2,2025-12-02
S001,SKU03916,18,5,4,2025-06-27
S001,SKU01518,80,15,10,2025-11-15
S001,SKU04683,193,44,23,2025-04-05
S001,SKU01928,20,4,3,2025-10-01
S001,SKU04831,34,9,7,2025-01-11
S001,SKU00584,28,4,2,2025-12-09
S001,SKU01731,44,6,3,2025-11-01
S001,SKU04095,6,1,1,2025-10-06
S001,SKU02868,108,12,10,2025-10-23
S001,SKU03028,90,9,8,2025-04-14
S001,SKU04377,86,22,20,2025-12-24
S001,SKU02417,127,31,20,2025-03-31
S001,SKU04949,38,9,7,2025-12-28
S001,SKU03484,12,1,1,2025-05-02
S001,SKU03465,162,21,14,2025-10-01
S001,SKU01630,89,12,11,2025-11-01
S001,SKU00283,46,10,7,2025-09-29
S001,SKU02171,58,7,4,2025-10-15
S001,SKU04061,16,3,2,2025-07-03
S001,SKU02772,7,1,1,2025-11-11
S001,SKU00508,136,37,26,2025-03-26
S001,SKU00894,39,9,8,2025-01-26
S001,SKU02382,128,16,9,2025-04-28
S001,SKU01533,42,10,7,2025-05-15
S001,SKU02251,144,18,14,2025-01-11
S001,SKU01713,48,7,4,2025-04-18
S001,SKU04951,94,11,7,2025-09-06
S001,SKU01464,12,3,2,2025-10-08
S001,SKU02464,61,17,11,2025-07-19
S001,SKU03504,14,2,1,2025-04-25
S001,SKU04605,76,20,13,2025-09-13
S001,SKU04480,49,12,8,2025-09-13
S001,SKU03231,52,13,6,2025-11-15
S001,SKU00505,92,23,12,2025-04-11
S001,SKU03411,62,9,6,2025-06-27
S001,SKU01669,194,43,22,2025-12-20
S001,SKU04615,147,39,22,2025-07-25
S001,SKU00683,172,50,49,2025-12-20
S001,SKU03586,98,16,15,2025-08-07
S001,SKU03940,115,33,21,2025-08-11
S001,SKU02337,17,1,1,2025-06-27
S001,SKU00522,79,14,12,2025-05-27
S001,SKU00477,44,8,5,2025-12-29
S001,SKU02575,103,22,21,2025-06-15
S001,SKU04625,5,1,1,2025-05-19
S001,SKU04816,62,9,4,2025-06-17
S001,SKU01942,26,2,1,2025-07-18
S001,SKU01636,68,8,7,2025-12-03
S001,SKU04699,20,5,4,2025-09-03
S001,SKU02871,11,2,1,2025-06-01
S001,SKU01831,11,1,1,2025-06-07
S001,SKU01706,2,1,1,2025-11-13
S001,SKU00400,19,2,1,2025-07-08
S001,SKU03666,113,31,27,2025-06-10
S001,SKU01108,12,1,1,2025-11-08
S001,SKU00200,50,6,3,2025-06-22
S001,SKU03378,32,6,3,2025-03-29
S001,SKU00808,72,11,9,2025-09-12
S001,SKU04343,6,1,1,2025-05-07
S001,SKU02882,27,7,5,2025-10-28
S001,SKU04598,53,7,5,2025-04-18
S001,SKU01040,86,18,14,2025-10-09
S001,SKU02562,147,23,18,2025-11-02
S001,SKU03416,152,21,15,2025-03-17
S001,SKU04075,11,2,1,2025-08-31
S001,SKU00104,118,34,26,2025-09-20
S001,SKU04186,44,11,9,2025-12-06
S001,SKU03734,85,14,8,2025-12-18
S001,SKU03591,81,20,16,2025-08-18
S001,SKU02838,76,8,6,2025-07-01
S001,SKU03661,24,3,1,2025-02-20
S001,SKU04636,65,16,14,2025-02-25
S001,SKU03329,4,1,1,2025-12-26
S001,SKU04820,10,1,1,2025-02-25
S001,SKU03726,18,3,2,2025-10-27
S001,SKU02191,44,5,3,2025-09-08
S001,SKU02630,71,9,5,2025-04-05
S001,SKU02450,83,9,6,2025-08-16
S001,SKU00710,19,4,3,2025-08-15
S001,SKU03693,102,17,12,2025-06-15
S001,SKU01324,16,3,1,2025-11-05
S001,SKU03053,93,18,17,2025-06-16
S001,SKU04629,121,29,27,2025-11-03
S001,SKU02702,83,23,16,2025-06-12
S001,SKU02769,14,3,2,2025-12-26
S001,SKU02516,18,1,1,2025-05-28
S001,SKU00823,16,3,2,2025-07-19
S001,SKU00026,54,13,9,2025-10-20
S001,SKU02859,156,45,28,2025-10-02
S001,SKU04232,10,2,1,2025-03-31
S001,SKU04837,11,2,1,2025-09-18
S001,SKU04470,16,2,1,2025-10-12
S001,SKU00613,6,1,1,2025-11-03
S001,SKU01944,93,16,15,2025-12-25
S001,SKU00653,78,16,9,2025-09-15
S001,SKU00927,74,14,7,2025-10-05
S001,SKU03687,66,17,16,2025-10-10
S001,SKU04255,39,6,3,2025-01-22
S001,SKU01608,102,26,24,2025-10-13
S001,SKU01449,14,2,1,2025-07-30
S001,SKU02153,69,16,14,2025-12-07
S001,SKU03762,19,2,1,2025-11-19
S001,SKU01820,27,8,5,2025-10-15
S001,SKU03399,8,1,1,2025-12-17
S001,SKU01898,14,3,2,2025-03-22
S001,SKU04728,66,10,7,2025-02-05
S001,SKU03579,78,22,15,2025-04-18
S001,SKU00053,130,24,13,2025-11-23
S001,SKU03413,16,4,3,2025-11-25
S001,SKU02865,108,24,14,2025-03-31
S001,SKU01342,63,15,8,2025-06-13
S001,SKU00539,104,27,19,2025-01-10
S001,SKU02399,199,51,42,2025-12-16
S001,SKU01212,40,9,7,2025-07-28
S001,SKU04152,77,8,5,2025-09-29
S001,SKU02596,48,13,11,2025-09-03
S001,SKU02356,171,34,21,2025-06-13
S001,SKU03269,70,16,8,2025-04-08
S001,SKU04158,136,23,22,2025-01-18
S001,SKU02244,13,3,2,2025-06-26
S001,SKU01081,140,27,21,2025-10-21
S001,SKU04568,89,17,9,2025-04-15
S001,SKU01385,96,26,24,2025-01-11
S001,SKU03054,62,12,11,2025-06-11
S001,SKU02216,56,14,7,2025-05-02
S001,SKU01981,184,24,16,2025-01-26
S001,SKU02102,76,7,6,2025-11-03
S001,SKU02984,26,6,4,2025-03-24
S001,SKU03978,46,9,5,2025-02-07
S001,SKU03760,45,7,5,2025-05-06
S001,SKU04065,93,10,5,2025-07-07
S001,SKU02846,67,15,12,2025-04-02
S001,SKU01239,134,35,27,2025-05-20
S001,SKU04691,46,8,6,2025-10-13
S001,SKU01088,56,12,8,2025-12-20
S001,SKU04495,106,25,13,2025-10-15
S001,SKU01766,11,2,1,2025-08-29
S001,SKU03912,153,18,13,2025-11-07
S001,SKU04763,31,7,4,2025-12-13
S001,SKU03297,43,11,8,2025-12-17
S001,SKU02346,79,18,17,2025-01-31
S001,SKU02355,8,1,1,2025-12-08
S001,SKU01260,55,15,12,2025-05-05
S001,SKU00096,93,16,11,2025-01-16
S001,SKU01687,85,22,18,2025-07-22
S001,SKU01117,129,30,17,2025-09-15
S001,SKU00203,21,5,3,2025-10-25
S001,SKU03425,72,14,8,2025-04-14
S001,SKU03966,83,21,17,2025-03-06
S001,SKU02537,55,13,7,2025-11-30
S001,SKU01595,14,1,1,2025-10-29
S001,SKU04222,122,34,18,2025-10-01
S001,SKU03019,95,20,14,2025-03-06
S001,SKU00685,89,13,12,2025-02-08
S001,SKU01140,7,1,1,2025-10-09
S001,SKU02214,14,3,2,2025-01-06
S001,SKU01838,28,7,4,2025-07-05
S001,SKU00190,146,36,35,2025-05-04
S001,SKU02225,58,10,9,2025-05-13
S001,SKU04417,106,26,19,2025-04-13
S001,SKU01032,67,8,5,2025-06-10
S001,SKU00394,8,1,1,2025-04-12
S001,SKU03179,100,11,9,2025-08-20
S001,SKU03942,44,9,6,2025-09-12
S001,SKU01076,69,10,8,2025-07-31
S001,SKU04639,5,1,1,2025-08-01
S001,SKU01318,70,18,14,2025-06-20
S001,SKU02467,20,4,3,2025-09-19
S001,SKU01696,139,38,25,2025-03-18
S001,SKU01300,28,3,2,2025-06-05
S001,SKU02988,121,28,23,2025-11-12
S001,SKU02310,40,7,5,2025-12-26
S001,SKU01969,48,7,4,2025-09-23
S001,SKU03907,18,4,3,2025-01-03
S001,SKU00536,49,7,6,2025-10-03
S001,SKU02188,117,24,20,2025-02-14
S001,SKU02089,101,24,22,2025-04-04
S001,SKU01235,103,17,16,2025-07-10
S001,SKU01584,80,12,7,2025-09-21
S001,SKU04151,75,16,13,2025-02-24
S001,SKU02998,90,17,14,2025-05-11
S001,SKU03083,5,1,1,2025-04-22
S001,SKU03458,16,1,1,2025-03-18
S001,SKU01119,135,30,29,2025-08-28
S001,SKU01248,39,4,3,2025-12-31
S001,SKU00625,59,11,7,2025-03-11
S001,SKU00334,66,16,9,2025-07-15
S001,SKU04881,54,9,5,2025-11-01
S001,SKU02640,15,3,1,2025-01-18
S001,SKU01624,9,2,1,2025-01-18
S001,SKU03132,64,16,13,2025-05-17
S001,SKU02195,84,11,9,2025-11-02
S001,SKU04268,64,16,14,2025-05-03
S001,SKU03108,149,25,19,2025-11-08
S001,SKU01168,50,6,4,2025-11-01
S001,SKU03180,28,7,4,2025-10-27
S001,SKU04173,49,5,4,2025-05-10
S001,SKU01443,125,23,18,2025-04-12
S001,SKU00617,98,22,12,2025-01-01
S001,SKU03110,56,16,15,2025-07-08
S001,SKU03888,82,22,12,2025-11-17
S001,SKU02342,67,17,11,2025-10-01
S001,SKU04932,114,29,14,2025-08-29
S001,SKU03051,46,6,4,2025-12-28
S001,SKU04111,96,10,9,2025-07-28
S001,SKU02308,23,6,3,2025-08-07
S001,SKU02622,23,4,3,2025-10-29
S001,SKU02699,52,5,2,2025-12-16
S001,SKU01241,44,4,3,2025-09-03
S001,SKU04130,9,1,1,2025-06-19
S001,SKU01905,41,9,8,2025-10-06
S001,SKU04905,28,7,5,2025-02-14
S001,SKU01165,103,15,9,2025-02-17
S001,SKU01238,35,8,5,2025-10-08
S001,SKU03412,17,3,1,2025-11-10
S001,SKU02003,3,1,1,2025-03-02
S001,SKU01401,25,3,2,2025-04-30
S001,SKU03245,26,2,1,2025-05-23
S001,SKU02374,98,13,7,2025-01-07
S001,SKU04156,82,14,10,2025-02-13
S001,SKU04892,62,16,9,2025-12-23
S001,SKU03869,146,28,26,2025-06-17
S001,SKU01793,96,18,11,2025-03-02
S001,SKU01628,10,2,1,2025-04-22
S001,SKU03634,42,5,3,2025-05-15
S001,SKU00407,22,4,3,2025-04-20
S001,SKU02168,50,5,4,2025-10-16
S001,SKU04886,26,5,3,2025-08-05
S001,SKU01819,41,7,6,2025-02-05
S001,SKU00262,18,2,1,2025-01-07
S001,SKU03035,15,2,1,2025-06-11
S001,SKU02704,9,1,1,2025-11-14
S001,SKU02253,52,9,8,2025-11-17
S001,SKU01109,94,11,8,2025-06-12
S001,SKU00459,81,19,11,2025-03-24
S001,SKU01742,4,1,1,2025-03-14
S001,SKU04734,13,1,1,2025-11-19
S001,SKU00708,126,28,15,2025-07-24
S001,SKU01658,133,33,23,2025-01-21
S001,SKU04704,56,8,5,2025-06-24
S001,SKU00871,105,22,15,2025-07-29
S001,SKU03648,19,2,1,2025-09-20
S001,SKU03790,27,6,5,2025-09-25
S001,SKU01313,15,4,2,2025-08-21
S001,SKU04154,18,1,1,2025-01-19
S001,SKU03949,277,55,30,2025-04-29
S001,SKU04792,100,15,10,2025-04-07
S001,SKU03477,79,23,12,2025-08-11
S001,SKU00557,172,19,13,2025-07-15
S001,SKU00701,12,1,1,2025-09-19
S001,SKU03191,61,10,5,2025-03-13
S001,SKU04286,9,1,1,2025-09-17
S001,SKU00753,96,10,5,2025-02-22
S001,SKU00834,102,22,15,2025-05-10
S001,SKU04682,73,19,17,2025-05-31
S001,SKU01089,160,30,23,2025-09-13
S001,SKU03680,9,1,1,2025-09-26
S001,SKU02508,16,2,1,2025-06-25
S001,SKU04327,20,4,3,2025-11-11
S001,SKU04264,11,1,1,2025-04-28
S001,SKU01693,93,16,12,2025-08-08
S001,SKU02969,35,8,7,2025-12-20
S001,SKU00619,27,4,2,2025-11-11
S001,SKU02538,28,6,3,2025-08-22
S001,SKU01102,130,23,12,2025-04-03
S001,SKU00553,126,23,13,2025-04-14
S001,SKU01712,136,27,16,2025-05-03
S001,SKU00567,131,31,24,2025-07-27
S001,SKU01768,42,10,9,2025-02-03
S001,SKU01514,65,18,10,2025-08-27
S001,SKU02844,10,2,1,2025-09-16
S001,SKU01253,32,5,4,2025-10-22
S001,SKU04653,22,3,2,2025-11-23
S001,SKU00606,54,7,6,2025-10-31
S001,SKU01567,102,16,11,2025-12-21
S001,SKU02373,15,1,1,2025-02-17
S001,SKU00906,13,2,1,2025-02-10
S001,SKU04260,54,9,4,2025-11-30
S001,SKU02620,17,3,1,2025-09-04
S001,SKU03779,54,15,10,2025-06-13
S001,SKU02479,72,15,11,2025-08-05
S001,SKU02855,131,21,15,2025-09-03
S001,SKU03068,31,9,8,2025-08-17
S001,SKU02930,26,5,3,2025-12-27
S001,SKU03581,131,28,15,2025-08-14
S001,SKU00811,97,12,6,2025-04-21
S001,SKU00247,88,8,4,2025-04-19
S001,SKU02351,89,26,20,2025-09-12
S001,SKU00736,86,14,8,2025-07-14
S001,SKU03703,69,19,9,2025-01-16
S001,SKU03718,32,9,7,2025-11-15
S001,SKU02437,67,8,4,2025-12-02
S001,SKU03926,151,25,20,2025-09-25
S001,SKU00722,161,34,33,2025-02-17
S001,SKU01220,99,22,15,2025-09-28
S001,SKU04077,101,17,12,2025-06-03
S001,SKU02511,40,10,5,2025-10-07
S001,SKU00768,116,19,18,2025-12-08
S001,SKU03813,193,49,42,2025-07-09
S001,SKU03887,15,2,1,2025-01-06
S001,SKU04968,24,5,3,2025-11-20
S001,SKU01394,99,22,17,2025-12-30
S001,SKU01555,46,6,3,2025-09-11
S001,SKU01289,100,16,9,2025-10-07
S001,SKU01210,65,9,7,2025-05-22
S001,SKU02689,83,11,8,2025-10-17
S001,SKU01686,16,4,2,2025-05-15
S001,SKU03979,29,8,4,2025-11-08
S001,SKU00507,68,11,7,2025-10-27
S001,SKU01161,8,1,1,2025-08-06
S001,SKU02763,20,4,2,2025-11-07
S001,SKU02449,140,20,18,2025-08-27
S001,SKU03857,63,12,11,2025-03-14
S001,SKU02548,49,9,8,2025-10-29
S001,SKU00081,113,29,22,2025-05-30
S001,SKU03658,88,9,5,2025-05-12
S001,SKU03260,23,6,4,2025-12-04
S001,SKU04557,83,20,18,2025-11-23
S001,SKU01410,129,30,20,2025-10-03
S001,SKU04401,20,3,2,2025-03-15
S001,SKU00156,26,4,3,2025-12-25
S001,SKU02137,35,4,3,2025-05-11
S001,SKU03319,97,18,15,2025-10-09
S001,SKU04499,31,7,6,2025-05-01
S001,SKU03643,29,4,2,2025-11-29
S001,SKU01335,92,11,6,2025-03-16
S001,SKU00468,10,1,1,2025-09-09
S001,SKU03394,100,23,17,2025-01-01
S001,SKU04813,12,2,1,2025-10-13
S001,SKU04618,58,11,10,2025-05-26
S001,SKU01784,12,2,1,2025-11-18
S001,SKU01815,50,11,8,2025-05-10
S001,SKU01877,103,18,14,2025-11-05
S001,SKU01346,29,6,5,2025-05-18
S001,SKU04160,53,15,13,2025-09-03
S001,SKU00316,54,8,7,2025-07-05
S001,SKU03129,54,13,12,2025-05-22
S001,SKU00747,21,4,2,2025-07-23
S001,SKU01589,22,4,3,2025-11-13
S001,SKU01018,10,1,1,2025-07-23
S001,SKU02127,15,2,1,2025-07-26
S001,SKU04271,48,6,3,2025-12-18
S001,SKU02799,8,1,1,2025-02-21
S001,SKU04021,11,1,1,2025-03-27
S001,SKU04590,15,1,1,2025-10-09
S001,SKU03758,4,1,1,2025-02-22
S001,SKU00985,41,10,9,2025-05-27
S001,SKU00551,39,4,2,2025-06-03
S001,SKU00180,90,14,11,2025-09-27
S001,SKU04908,18,4,3,2025-06-30
S001,SKU04067,37,10,8,2025-07-07
S001,SKU00861,12,1,1,2025-04-18
S001,SKU03369,87,21,16,2025-01-25
S001,SKU03358,80,13,7,2025-02-14
S001,SKU04921,17,2,1,2025-06-14
S001,SKU00674,64,7,5,2025-03-25
S001,SKU04026,94,24,13,2025-04-26
S001,SKU03473,22,3,2,2025-03-13
S001,SKU00445,9,2,1,2025-06-02
S001,SKU01634,135,33,28,2025-08-15
S001,SKU04358,33,5,3,2025-01-23
S001,SKU00502,14,2,1,2025-04-05
S001,SKU02471,10,1,1,2025-01-11
S001,SKU00307,16,2,1,2025-04-11
S001,SKU02454,73,18,9,2025-11-17
S001,SKU02200,27,6,5,2025-06-16
S001,SKU03600,112,16,15,2025-10-31
S001,SKU03130,14,4,2,2025-01-19
S001,SKU04659,21,4,3,2025-07-30
S001,SKU04467,14,3,2,2025-09-19
S001,SKU04860,7,1,1,2025-12-04
S001,SKU04427,12,1,1,2025-04-28
S001,SKU01135,31,9,8,2025-10-03
S001,SKU00374,113,18,14,2025-04-04
S001,SKU01661,17,4,3,2025-11-30
