cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
C100048,29,Female,Dubai,Gold,Store,2023-01-27
C100049,29,Male,Dubai,Platinum,Store,2024-05-18
C100050,30,Female,Dubai,Silver,Store,2021-02-16
C100051,37,Male,Dubai,Gold,Store,2021-01-24
C100052,46,Female,Dubai,Silver,Website,2018-12-22
C100053,22,Male,Sharjah,Gold,Store,2023-07-07
C100054,34,Female,Abu Dhabi,Silver,Website,2020-01-23
C100055,31,Female,Abu Dhabi,Gold,Store,2019-12-05
C100056,42,Female,Dubai,Silver,Store,2023-04-17
C100057,44,Female,Abu Dhabi,Gold,Mobile,2017-05-06
C100058,29,Male,Dubai,Silver,Store,2022-05-16
C100059,37,Male,Dubai,Platinum,Website,2019-09-20
C100060,18,Male,Abu Dhabi,Gold,Store,2015-09-18
C100061,27,Female,Dubai,Silver,Website,2018-12-03
C100062,30,Male,Dubai,Gold,Store,2016-10-03
C100063,29,Male,Dubai,Platinum,Store,2024-02-12
C100064,39,Female,Dubai,Silver,Store,2023-10-25
C100065,41,Female,Abu Dhabi,Gold,Store,2021-06-01
C100066,29,Other,Dubai,Platinum,Store,2018-09-07
C100067,41,Female,Abu Dhabi,Silver,Store,2015-03-11
C100068,39,Male,Dubai,Gold,Store,2022-01-19
C100069,57,Female,Abu Dhabi,Platinum,Website,2023-11-21
C100070,32,Male,Dubai,Gold,Store,2019-05-06
C100071,34,Male,Dubai,Platinum,Store,2018-01-06
C100072,30,Male,Abu Dhabi,Silver,Mobile,2015-10-21
C100073,31,Other,Dubai,Platinum,Website,2015-09-13
C100074,20,Male,Dubai,Silver,Store,2020-12-02
C100075,24,Female,Sharjah,Gold,Website,2022-01-07
C100076,35,Male,Dubai,Gold,Store,2015-05-10
C100077,47,Male,Abu Dhabi,Silver,Store,2016-07-14
C100078,18,Female,Abu Dhabi,Silver,Store,2024-02-19
C100079,29,Female,Dubai,Platinum,Mobile,2024-02-20
C100080,18,Female,Abu Dhabi,Silver,Store,2017-08-02
C100081,35,Male,Sharjah,Silver,Website,2018-02-10
C100082,31,Male,Abu Dhabi,Silver,Store,2022-11-09
C100083,18,Male,Abu Dhabi,Silver,Store,2016-02-22
C100084,27,Female,Abu Dhabi,Platinum,Website,2018-06-11
C100085,38,Female,Dubai,Gold,Store,2017-11-12
C100086,36,Female,Dubai,Silver,Store,2017-08-16
C100087,30,Female,Abu Dhabi,Gold,Store,2017-07-06
C100088,38,Male,Dubai,Gold,Store,2015-12-13
C100089,48,Female,Abu Dhabi,Silver,Store,2016-03-06
C100090,46,Male,Dubai,Gold,Store,2015-06-20
C100091,50,Male,Dubai,Gold,Store,2015-09-24
C100092,33,Female,Abu Dhabi,Silver,Store,2020-06-27
C100093,23,Female,Sharjah,Silver,Store,2015-11-06
C100094,37,Male,Sharjah,Silver,Store,2015-02-14
C100095,33,Female,Dubai,Silver,Store,2017-11-21
C100096,33,Other,Abu Dhabi,Silver,Store,2018-07-06
C100097,25,Female,Dubai,Silver,Store,2024-03-13
C100098,34,Male,Dubai,Silver,Website,2019-05-05
C100099,48,Female,Dubai,Gold,Store,2019-03-10
C100100,39,Male,Dubai,Silver,Store,2019-03-20
C100101,40,Female,Dubai,Silver,Website,2024-02-17
C100102,48,Female,Dubai,Silver,Store,2019-04-02
C100103,36,Male,Abu Dhabi,Silver,Store,2015-02-26
C100104,31,Female,Dubai,Silver,Store,2022-11-12
C100105,25,Male,Dubai,Silver,Website,2022-08-06
C100106,26,Other,Dubai,Gold,Store,2017-08-01
C100107,41,Male,Dubai,Gold,Marketplace,2017-10-06
C100108,31,Female,Abu Dhabi,Silver,Mobile,2023-03-25
C100109,41,Other,Abu Dhabi,Gold,Mobile,2020-07-21
C100110,35,Male,Dubai,Silver,Website,2018-03-19
C100111,33,Male,Dubai,Silver,Mobile,2021-08-04
C100112,36,Male,Dubai,Silver,Website,2020-12-11
C100113,28,Male,Abu Dhabi,Gold,Store,2024-11-24
C100114,40,Female,Abu Dhabi,Gold,Store,2018-12-02
C100115,46,Male,Dubai,Silver,Store,2015-02-26
C100116,47,Female,Dubai,Silver,Website,2019-12-15
C100117,36,Male,Dubai,Silver,Store,2015-07-15
C100118,29,Male,Dubai,Silver,Store,2022-03-18
C100119,18,Male,Dubai,Silver,Website,2021-06-05
C100120,36,Female,Abu Dhabi,Gold,Store,2020-04-21
C100121,32,Male,Dubai,Silver,Store,2016-06-17
C100122,44,Female,Abu Dhabi,Silver,Store,2024-09-10
C100123,18,Male,Dubai,Silver,Website,2016-11-12
C100124,42,Female,Dubai,Gold,Store,2021-12-07
C100125,47,Male,Dubai,Silver,Store,2019-08-06
C100126,51,Female,Abu Dhabi,Silver,Store,2024-03-09
C100127,39,Male,Abu Dhabi,Silver,Store,2019-07-09
C100128,18,Male,Dubai,Silver,Store,2023-05-03
C100129,40,Male,Abu Dhabi,Silver,Store,2023-02-04
C100130,28,Female,Dubai,Platinum,Store,2015-07-22
C100131,26,Other,Dubai,Gold,Website,2015-06-20
C100132,18,Female,Abu Dhabi,Gold,Mobile,2016-09-26
C100133,23,Female,Dubai,Silver,Website,2024-12-05
C100134,63,Male,Dubai,Silver,Marketplace,2023-08-11
C100135,34,Male,Dubai,Silver,Mobile,2016-10-20
C100136,35,Female,Dubai,Gold,Website,2024-01-08
C100137,44,Female,Dubai,Gold,Store,2018-05-14
C100138,37,Female,Abu Dhabi,Silver,Mobile,2016-05-22
C100139,27,Male,Abu Dhabi,Silver,Website,2015-11-21
C100140,37,Male,Abu Dhabi,Platinum,Store,2021-04-26
C100141,19,Female,Abu Dhabi,Silver,Store,2019-03-26
C100142,25,Male,Abu Dhabi,Silver,Store,2018-04-13
C100143,35,Female,Dubai,Gold,Store,2019-03-22
C100144,34,Female,Dubai,Silver,Website,2017-04-24
C100145,37,Female,Dubai,Silver,Store,2024-01-12
C100146,42,Male,Dubai,Gold,Store,2016-06-09
C100147,35,Female,Dubai,Gold,Store,2018-08-10
C100148,24,Female,Dubai,Silver,Store,2015-09-14
C100149,33,Male,Dubai,Silver,Store,2015-09-11
C100150,32,Female,Abu Dhabi,Silver,Store,2024-03-23
C100151,32,Male,Abu Dhabi,Silver,Store,2019-04-26
C100152,35,Female,Dubai,Silver,Store,2024-04-16
C100153,18,Female,Abu Dhabi,Silver,Store,2020-02-17
C100154,39,Male,Abu Dhabi,Silver,Store,2023-06-19
C100155,41,Female,Abu Dhabi,Silver,Store,2015-05-04
C100156,23,Male,Dubai,Gold,Store,2017-08-26
C100157,18,Male,Dubai,Silver,Store,2020-07-05
C100158,26,Female,Abu Dhabi,Silver,Store,2019-01-05
C100159,28,Female,Dubai,Silver,Store,2017-07-02
C100160,43,Male,Sharjah,Silver,Store,2017-05-25
C100161,42,Female,Dubai,Platinum,Store,2016-12-19
C100162,28,Female,Dubai,Gold,Website,2020-04-12
C100163,41,Female,Dubai,Gold,Store,2024-02-25
C100164,36,Female,Dubai,Silver,Store,2022-11-08
C100165,38,Male,Dubai,Platinum,Store,2015-05-03
C100166,30,Male,Dubai,Silver,Store,2024-12-15
C100167,39,Male,Dubai,Gold,Store,2016-01-25
C100168,18,Female,Sharjah,Silver,Website,2018-09-15
C100169,47,Male,Dubai,Silver,Store,2020-11-22
C100170,30,Male,Dubai,Silver,Store,2022-05-24
C100171,27,Other,Dubai,Silver,Store,2021-07-04
C100172,30,Female,Dubai,Silver,Store,2016-02-04
C100173,29,Male,Dubai,Gold,Store,2023-08-25
C100174,35,Female,Dubai,Silver,Mobile,2023-04-16
C100175,34,Female,Dubai,Silver,Store,2018-09-09
C100176,27,Male,Abu Dhabi,Platinum,Website,2019-11-23
C100177,49,Other,Abu Dhabi,Platinum,Store,2022-06-02
C100178,34,Male,Sharjah,Silver,Store,2024-01-22
C100179,31,Female,Dubai,Silver,Website,2023-12-16
C100180,35,Female,Dubai,Platinum,Store,2016-06-03
C100181,35,Female,Dubai,Gold,Mobile,2017-12-13
C100182,28,Male,Dubai,Silver,Website,2015-12-18
C100183,21,Female,Dubai,Platinum,Website,2017-12-11
C100184,36,Male,Dubai,Silver,Store,2021-12-09
C100185,46,Female,Dubai,Gold,Store,2021-11-21
C100186,41,Female,Dubai,Silver,Mobile,2017-08-27
C100187,41,Male,Dubai,Gold,Store,2020-04-13
C100188,42,Female,Dubai,Silver,Store,2015-10-04
C100189,38,Female,Abu Dhabi,Silver,Store,2016-09-01
C100190,54,Male,Abu Dhabi,Gold,Website,2016-07-10
C100191,18,Female,Abu Dhabi,Silver,Store,2020-09-21
C100192,29,Female,Dubai,Silver,Store,2019-10-08
C100193,36,Male,Dubai,Silver,Website,2018-03-16
C100194,35,Female,Abu Dhabi,Gold,Store,2016-11-27
C100195,44,Female,Dubai,Platinum,Store,2016-05-14
C100196,18,Female,Abu Dhabi,Gold,Mobile,2019-09-15
C100197,40,Male,Dubai,Gold,Store,2018-02-17
C100198,45,Female,Abu Dhabi,Gold,Store,2023-08-01
C100199,33,Male,Abu Dhabi,Silver,Mobile,2016-09-22
C100200,35,Female,Dubai,Silver,Store,2020-01-19
C100201,31,Male,Dubai,Gold,Store,2021-06-13
C100202,35,Male,Dubai,Silver,Website,2019-03-14
C100203,22,Female,Dubai,Gold,Store,2022-06-16
C100204,52,Male,Dubai,Silver,Store,2016-08-13
C100205,18,Male,Dubai,Platinum,Website,2020-01-13
C100206,29,Female,Dubai,Gold,Store,2017-05-13
C100207,44,Female,Dubai,Silver,Store,2021-01-16
C100208,41,Female,Dubai,Silver,Store,2023-06-08
C100209,32,Female,Abu Dhabi,Gold,Store,2019-02-11
C100210,33,Female,Dubai,Silver,Marketplace,2016-02-11
C100211,33,Female,Dubai,Platinum,Store,2016-02-08
C100212,18,Male,Abu Dhabi,Platinum,Marketplace,2017-06-13
C100213,44,Male,Sharjah,Silver,Website,2020-05-25
C100214,28,Female,Dubai,Platinum,Mobile,2021-09-26
C100215,49,Male,Dubai,Gold,Store,2024-11-16
C100216,42,Male,Dubai,Silver,Store,2018-02-11
C100217,36,Female,Abu Dhabi,Silver,Website,2018-04-14
C100218,33,Male,Dubai,Silver,Website,2022-09-26
C100219,58,Female,Dubai,Gold,Store,2019-10-26
C100220,39,Female,Dubai,Gold,Store,2024-01-09
C100221,28,Female,Dubai,Silver,Store,2018-11-11
C100222,34,Female,Dubai,Platinum,Store,2016-12-14
C100223,33,Female,Abu Dhabi,Silver,Website,2020-01-22
C100224,35,Female,Dubai,Silver,Website,2023-06-26
C100225,18,Female,Dubai,Silver,Store,2023-09-13
C100226,24,Male,Dubai,Silver,Website,2022-11-10
C100227,33,Female,Dubai,Silver,Store,2021-05-16
C100228,18,Male,Abu Dhabi,Gold,Store,2015-09-07
C100229,20,Female,Dubai,Platinum,Website,2023-07-09
C100230,28,Male,Dubai,Silver,Store,2015-08-15
C100231,36,Other,Abu Dhabi,Silver,Marketplace,2020-12-22
C100232,29,Other,Dubai,Silver,Store,2017-07-15
C100233,23,Male,Dubai,Gold,Store,2024-10-11
C100234,27,Male,Abu Dhabi,Silver,Store,2024-11-26
C100235,18,Male,Sharjah,Silver,Website,2015-02-13
C100236,32,Male,Dubai,Silver,Store,2016-12-09
C100237,30,Female,Sharjah,Gold,Store,2024-05-08
C100238,29,Male,Dubai,Silver,Store,2017-01-23
C100239,58,Male,Abu Dhabi,Platinum,Store,2017-05-26
C100240,24,Other,Dubai,Gold,Store,2019-02-09
C100241,18,Female,Abu Dhabi,Gold,Website,2020-06-08
C100242,36,Male,Abu Dhabi,Platinum,Store,2017-11-07
C100243,30,Male,Abu Dhabi,Platinum,Store,2022-08-06
C100244,18,Male,Dubai,Silver,Website,2016-02-12
C100245,27,Male,Dubai,Gold,Website,2024-12-25
C100246,18,Female,Abu Dhabi,Silver,Store,2019-10-25
C100247,40,Male,Abu Dhabi,Gold,Website,2016-11-18
C100248,32,Female,Dubai,Silver,Mobile,2015-01-10
C100249,38,Female,Dubai,Silver,Store,2021-06-09
C100250,35,Male,Sharjah,Silver,Store,2018-02-16
C100251,30,Female,Dubai,Silver,Store,2019-11-12
C100252,29,Female,Abu Dhabi,Gold,Store,2020-09-24
C100253,40,Female,Dubai,Silver,Store,2019-06-21
C100254,43,Male,Dubai,Gold,Store,2017-03-26
C100255,27,Female,Dubai,Silver,Store,2019-07-12
C100256,33,Male,Abu Dhabi,Silver,Store,2016-12-17
C100257,29,Female,Dubai,Gold,Website,2017-03-04
C100258,44,Female,Dubai,Silver,Store,2022-03-05
C100259,18,Male,Dubai,Silver,Mobile,2018-08-24
C100260,37,Male,Dubai,Silver,Store,2015-02-14
C100261,32,Male,Dubai,Gold,Mobile,2020-09-13
C100262,36,Male,Dubai,Silver,Store,2017-10-27
C100263,61,Female,Dubai,Silver,Website,2017-06-10
C100264,35,Male,Abu Dhabi,Silver,Website,2018-10-27
C100265,28,Female,Abu Dhabi,Silver,Store,2018-02-26
C100266,25,Female,Abu Dhabi,Silver,Store,2018-03-22
C100267,29,Female,Dubai,Silver,Store,2018-03-19
C100268,24,Male,Dubai,Silver,Website,2022-01-23
C100269,31,Female,Dubai,Silver,Store,2024-01-22
C100270,52,Other,Abu Dhabi,Gold,Store,2020-06-19
C100271,41,Female,Dubai,Silver,Store,2019-07-13
C100272,40,Female,Dubai,Gold,Store,2018-12-06
C100273,18,Male,Dubai,Gold,Store,2021-01-18
C100274,26,Male,Sharjah,Platinum,Website,2017-05-18
C100275,35,Other,Dubai,Silver,Mobile,2020-09-19
C100276,45,Male,Dubai,Silver,Mobile,2015-11-23
C100277,55,Female,Abu Dhabi,Silver,Store,2020-10-02
C100278,36,Male,Dubai,Platinum,Store,2018-12-04
C100279,58,Female,Dubai,Gold,Website,2024-03-25
C100280,38,Male,Dubai,Silver,Website,2024-03-14
C100281,39,Female,Dubai,Silver,Store,2019-01-20
C100282,40,Female,Dubai,Silver,Website,2018-03-25
C100283,46,Female,Abu Dhabi,Silver,Website,2019-07-19
C100284,37,Other,Dubai,Gold,Store,2017-11-12
C100285,18,Female,Dubai,Gold,Store,2023-09-13
C100286,38,Male,Dubai,Silver,Store,2018-03-15
C100287,25,Female,Dubai,Silver,Store,2024-05-01
C100288,18,Female,Dubai,Gold,Mobile,2023-05-19
C100289,53,Female,Abu Dhabi,Silver,Store,2017-06-09
C100290,40,Female,Dubai,Gold,Website,2021-03-02
C100291,32,Male,Sharjah,Gold,Website,2019-08-22
C100292,27,Male,Dubai,Gold,Store,2017-10-14
C100293,50,Female,Dubai,Silver,Store,2018-02-14
C100294,59,Male,Sharjah,Silver,Store,2016-10-01
C100295,41,Male,Dubai,Platinum,Website,2021-11-24
C100296,30,Female,Sharjah,Silver,Website,2023-10-16
C100297,44,Female,Abu Dhabi,Silver,Mobile,2019-10-07
C100298,41,Male,Dubai,Gold,Store,2019-05-26
C100299,40,Male,Sharjah,Silver,Store,2019-11-24
C100300,34,Female,Abu Dhabi,Silver,Store,2024-03-25
C100301,31,Male,Dubai,Silver,Store,2023-01-22
C100302,23,Female,Abu Dhabi,Silver,Store,2022-07-08
C100303,29,Male,Dubai,Silver,Store,2022-10-20
C100304,31,Female,Dubai,Silver,Store,2024-03-18
C100305,25,Male,Dubai,Silver,Store,2024-02-16
C100306,40,Male,Abu Dhabi,Gold,Store,2019-09-17
C100307,28,Male,Abu Dhabi,Gold,Mobile,2017-12-02
C100308,36,Female,Dubai,Platinum,Store,2015-02-25
C100309,29,Male,Abu Dhabi,Silver,Store,2018-10-20
C100310,40,Female,Abu Dhabi,Silver,Store,2019-07-12
C100311,32,Other,Sharjah,Gold,Store,2018-03-02
C100312,18,Female,Dubai,Silver,Website,2015-07-12
C100313,31,Female,Dubai,Silver,Website,2023-08-06
C100314,30,Male,Dubai,Silver,Mobile,2023-05-22
C100315,42,Female,Dubai,Silver,Website,2019-06-09
C100316,18,Female,Dubai,Gold,Mobile,2024-04-18
C100317,49,Female,Abu Dhabi,Gold,Store,2015-07-07
C100318,35,Female,Abu Dhabi,Platinum,Store,2020-02-15
C100319,53,Male,Abu Dhabi,Platinum,Store,2019-07-12
C100320,35,Female,Dubai,Silver,Store,2018-11-17
C100321,33,Male,Dubai,Silver,Website,2018-07-05
C100322,57,Male,Dubai,Gold,Website,2022-02-21
C100323,33,Female,Dubai,Silver,Store,2024-12-18
C100324,44,Male,Dubai,Gold,Store,2020-01-13
C100325,45,Female,Dubai,Gold,Website,2024-04-25
C100326,32,Female,Abu Dhabi,Silver,Website,2020-11-17
C100327,33,Male,Dubai,Silver,Mobile,2021-06-27
C100328,23,Female,Abu Dhabi,Gold,Website,2023-12-10
C100329,44,Female,Dubai,Silver,Website,2016-05-15
C100330,61,Female,Abu Dhabi,Gold,Store,2015-03-12
C100331,23,Male,Dubai,Silver,Website,2023-03-22
C100332,42,Male,Dubai,Silver,Store,2024-02-07
C100333,37,Male,Dubai,Platinum,Store,2015-03-14
C100334,35,Female,Dubai,Gold,Store,2017-06-16
C100335,41,Female,Dubai,Silver,Store,2015-07-22
C100336,33,Female,Dubai,Silver,Store,2015-08-01
C100337,26,Male,Dubai,Silver,Store,2019-02-14
C100338,29,Male,Dubai,Gold,Store,2024-01-20
C100339,28,Female,Dubai,Gold,Website,2022-12-16
C100340,46,Female,Abu Dhabi,Gold,Website,2020-04-19
C100341,32,Female,Abu Dhabi,Gold,Store,2019-05-17
C100342,51,Female,Abu Dhabi,Silver,Store,2024-04-25
C100343,41,Male,Abu Dhabi,Gold,Marketplace,2021-11-11
C100344,52,Male,Abu Dhabi,Silver,Website,2015-01-04
C100345,31,Male,Sharjah,Silver,Store,2018-04-24
C100346,50,Female,Sharjah,Silver,Store,2020-12-24
C100347,38,Male,Dubai,Silver,Store,2023-06-20
C100348,37,Male,Abu Dhabi,Gold,Store,2020-04-07
C100349,25,Male,Abu Dhabi,Platinum,Store,2015-06-07
C100350,32,Male,Dubai,Gold,Store,2016-12-18
C100351,31,Female,Dubai,Silver,Website,2021-03-25
C100352,30,Male,Dubai,Gold,Store,2017-05-07
C100353,33,Female,Sharjah,Gold,Store,2017-06-10
C100354,28,Male,Dubai,Silver,Store,2015-04-04
C100355,28,Female,Dubai,Gold,Store,2024-03-21
C100356,43,Female,Abu Dhabi,Gold,Store,2023-09-15
C100357,39,Female,Abu Dhabi,Silver,Website,2016-03-17
C100358,38,Male,Sharjah,Platinum,Store,2017-08-01
C100359,32,Male,Abu Dhabi,Silver,Store,2024-03-19
C100360,26,Male,Abu Dhabi,Gold,Website,2021-08-23
C100361,34,Male,Abu Dhabi,Silver,Website,2022-03-06
C100362,24,Female,Sharjah,Gold,Store,2022-10-06
C100363,24,Male,Sharjah,Gold,Store,2024-11-06
C100364,31,Male,Dubai,Gold,Store,2024-04-15
C100365,47,Female,Dubai,Silver,Store,2022-10-15
C100366,29,Female,Dubai,Silver,Store,2016-03-24
C100367,28,Male,Abu Dhabi,Platinum,Store,2024-10-21
C100368,22,Male,Dubai,Silver,Marketplace,2022-12-07
C100369,39,Male,Abu Dhabi,Silver,Store,2015-12-19
C100370,35,Female,Dubai,Silver,Store,2016-09-10
C100371,42,Female,Abu Dhabi,Silver,Store,2021-11-18
C100372,51,Female,Dubai,Gold,Store,2018-09-01
C100373,18,Male,Dubai,Silver,Website,2021-11-24
C100374,30,Female,Dubai,Platinum,Store,2023-10-22
C100375,38,Male,Abu Dhabi,Gold,Store,2022-11-25
C100376,27,Male,Abu Dhabi,Silver,Store,2020-01-26
C100377,25,Other,Sharjah,Silver,Store,2015-05-04
C100378,34,Female,Abu Dhabi,Gold,Website,2024-09-23
C100379,38,Female,Abu Dhabi,Silver,Website,2016-04-26
C100380,38,Female,Sharjah,Gold,Store,2022-07-24
C100381,29,Male,Dubai,Silver,Store,2020-08-21
C100382,32,Female,Dubai,Silver,Store,2018-09-04
C100383,37,Female,Abu Dhabi,Gold,Store,2018-05-16
C100384,18,Female,Dubai,Silver,Website,2015-09-06
C100385,49,Male,Dubai,Silver,Store,2022-01-25
C100386,29,Other,Abu Dhabi,Platinum,Store,2016-11-16
C100387,47,Female,Dubai,Silver,Store,2021-06-25
C100388,40,Female,Dubai,Silver,Store,2024-01-11
C100389,43,Male,Abu Dhabi,Silver,Store,2019-09-13
C100390,34,Female,Dubai,Platinum,Website,2024-11-01
C100391,21,Male,Dubai,Silver,Website,2024-12-26
C100392,51,Male,Dubai,Silver,Store,2024-09-01
C100393,41,Female,Abu Dhabi,Silver,Store,2022-10-14
C100394,34,Female,Abu Dhabi,Platinum,Store,2015-11-22
C100395,22,Male,Sharjah,Silver,Store,2021-04-27
C100396,27,Male,Dubai,Gold,Store,2023-05-03
C100397,18,Female,Abu Dhabi,Gold,Website,2016-03-25
C100398,18,Male,Dubai,Gold,Store,2018-02-25
C100399,34,Female,Dubai,Gold,Store,2018-08-06
C100400,34,Male,Abu Dhabi,Silver,Store,2021-08-02
C100401,35,Male,Dubai,Platinum,Store,2024-03-18
C100402,18,Male,Abu Dhabi,Silver,Store,2020-06-24
C100403,46,Female,Dubai,Silver,Store,2023-01-09
C100404,24,Male,Dubai,Gold,Store,2021-02-10
C100405,19,Female,Dubai,Silver,Store,2019-07-05
C100406,61,Female,Dubai,Silver,Store,2017-04-05
C100407,24,Female,Dubai,Silver,Mobile,2019-08-21
C100408,51,Female,Abu Dhabi,Silver,Store,2017-10-24
C100409,27,Female,Sharjah,Silver,Store,2019-05-21
C100410,25,Female,Dubai,Gold,Website,2019-07-15
C100411,28,Male,Sharjah,Gold,Store,2015-02-24
C100412,20,Male,Dubai,Silver,Store,2017-08-03
C100413,28,Female,Dubai,Platinum,Store,2015-10-03
C100414,41,Female,Dubai,Platinum,Store,2020-10-05
C100415,25,Male,Abu Dhabi,Silver,Store,2019-04-13
C100416,26,Female,Dubai,Gold,Website,2019-03-27
C100417,37,Male,Abu Dhabi,Gold,Store,2016-01-19
C100418,52,Female,Dubai,Gold,Store,2020-11-04
C100419,36,Female,Abu Dhabi,Silver,Store,2016-03-27
C100420,24,Male,Dubai,Silver,Store,2016-07-01
C100421,19,Male,Dubai,Platinum,Mobile,2022-02-11
C100422,29,Female,Dubai,Silver,Store,2015-07-27
C100423,33,Male,Abu Dhabi,Silver,Website,2016-11-18
C100424,36,Male,Dubai,Gold,Store,2018-11-22
C100425,44,Female,Dubai,Silver,Store,2019-06-10
C100426,45,Male,Abu Dhabi,Silver,Website,2017-06-09
C100427,41,Male,Sharjah,Silver,Website,2021-07-11
C100428,49,Male,Dubai,Silver,Store,2023-01-25
C100429,38,Male,Abu Dhabi,Silver,Website,2021-09-08
C100430,41,Female,Dubai,Silver,Store,2016-10-10
C100431,37,Female,Dubai,Gold,Website,2023-08-05
C100432,38,Male,Dubai,Silver,Marketplace,2020-09-25
C100433,45,Female,Dubai,Gold,Store,2022-11-23
C100434,27,Female,Abu Dhabi,Silver,Store,2024-06-11
C100435,56,Other,Abu Dhabi,Gold,Website,2024-07-04
C100436,30,Male,Abu Dhabi,Gold,Website,2024-06-09
C100437,18,Female,Dubai,Platinum,Store,2017-11-11
C100438,40,Female,Dubai,Silver,Store,2024-06-03
C100439,18,Male,Dubai,Silver,Website,2015-06-27
C100440,32,Other,Sharjah,Silver,Store,2020-07-22
C100441,55,Female,Dubai,Gold,Store,2024-10-02
C100442,43,Female,Dubai,Silver,Website,2017-12-25
C100443,23,Female,Dubai,Silver,Store,2016-06-03
C100444,31,Female,Dubai,Gold,Store,2019-08-26
C100445,39,Female,Dubai,Silver,Store,2023-06-15
C100446,48,Male,Sharjah,Silver,Store,2021-12-17
C100447,43,Female,Dubai,Silver,Store,2023-12-02
C100448,31,Male,Dubai,Gold,Store,2023-03-19
C100449,34,Female,Dubai,Silver,Mobile,2024-04-26
C100450,36,Male,Sharjah,Gold,Store,2018-09-04
C100451,27,Female,Abu Dhabi,Platinum,Store,2021-08-08
C100452,33,Female,Dubai,Gold,Store,2019-04-08
C100453,19,Other,Sharjah,Silver,Website,2022-02-13
C100454,31,Male,Abu Dhabi,Gold,Store,2024-09-18
C100455,35,Male,Abu Dhabi,Silver,Website,2024-09-02
C100456,30,Male,Sharjah,Gold,Website,2019-01-20
C100457,28,Male,Abu Dhabi,Silver,Store,2024-03-21
C100458,47,Female,Dubai,Silver,Store,2019-02-01
C100459,27,Female,Dubai,Silver,Website,2016-06-12
C100460,32,Male,Abu Dhabi,Silver,Store,2022-12-02
C100461,40,Other,Dubai,Silver,Mobile,2019-09-14
C100462,36,Female,Dubai,Silver,Store,2021-01-25
C100463,22,Female,Dubai,Silver,Store,2022-10-15
C100464,24,Female,Sharjah,Silver,Website,2015-12-26
C100465,18,Female,Abu Dhabi,Silver,Store,2022-10-16
C100466,40,Male,Abu Dhabi,Silver,Store,2021-02-19
C100467,30,Female,Dubai,Gold,Mobile,2024-08-03
C100468,32,Female,Dubai,Silver,Store,2024-10-16
C100469,30,Female,Sharjah,Silver,Store,2019-03-03
